epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,1450.11,0.68185,0.46337,0.62272,0.98714,0,0.83219,0.74,0.79071,0.6392,0.83219,0.74,0.79071,0.54591,0.75922,0.65945,0.62773,1.09243,0,0.00104721,0.00104721,0.00104721
60,1474.61,0.70239,0.46368,0.60092,0.99366,0,0.58107,0.88,0.81325,0.6527,0.58107,0.88,0.81325,0.58249,0.72333,0.60326,0.61611,1.03935,0,0.00104611,0.00104611,0.00104611
61,1499.1,0.69702,0.43747,0.59121,0.98714,0,0.77423,0.95167,0.93391,0.71501,0.77423,0.95167,0.93391,0.61695,0.78198,0.6097,0.61852,1.06501,0,0.00104501,0.00104501,0.00104501
62,1523.66,0.71673,0.49015,0.59593,0.98122,0,0.57421,0.87182,0.88005,0.6676,0.57421,0.87182,0.88005,0.59566,0.78621,0.691,0.64363,1.07016,0,0.00104391,0.00104391,0.00104391
63,1548.18,0.69245,0.43108,0.65581,0.99336,0,0.83536,0.96474,0.93776,0.65786,0.83536,0.96474,0.93776,0.63255,0.75632,0.65649,0.78266,1.07411,0,0.00104281,0.00104281,0.00104281
64,1572.67,0.69162,0.42785,0.64295,1.00043,0,0.86314,0.75617,0.8466,0.67268,0.86314,0.75617,0.8466,0.61086,0.70578,0.63983,0.62901,1.04023,0,0.00104171,0.00104171,0.00104171
65,1597.14,0.70307,0.43038,0.62234,0.99707,0,0.86818,0.76333,0.88341,0.64373,0.86818,0.76333,0.88341,0.57895,0.81266,0.70421,0.657,1.09574,0,0.00104061,0.00104061,0.00104061
66,1621.62,0.68888,0.42486,0.61584,0.98609,0,0.90808,0.88193,0.94751,0.72569,0.90808,0.88193,0.94751,0.65581,0.79922,0.63451,0.60195,1.10708,0,0.00103951,0.00103951,0.00103951
67,1646.11,0.70217,0.43306,0.59568,0.99881,0,0.92115,0.91123,0.95177,0.74272,0.92115,0.91123,0.95177,0.65641,0.84309,0.71966,0.64483,1.13902,0,0.00103841,0.00103841,0.00103841
68,1670.7,0.6888,0.45805,0.61102,1.0064,0,0.85077,0.79167,0.80206,0.63179,0.85077,0.79167,0.80206,0.54918,0.81369,0.70168,0.67627,1.11048,0,0.00103731,0.00103731,0.00103731
69,1695.18,0.68928,0.42382,0.60707,0.99989,0,0.79647,0.95073,0.94216,0.76014,0.79647,0.95073,0.94216,0.68245,0.76615,0.63362,0.64995,1.07246,0,0.00103621,0.00103621,0.00103621
70,1719.9,0.73617,0.45575,0.63422,1.01052,0,0.82097,0.76967,0.74884,0.6066,0.82097,0.76967,0.74884,0.52027,0.7866,0.67189,0.71024,1.09449,0,0.00103511,0.00103511,0.00103511
71,1744.42,0.74,0.45168,0.64285,1.02479,0,0.70768,1,0.93708,0.66751,0.70768,1,0.93708,0.62682,0.70436,0.66113,0.6051,1.05352,0,0.00103401,0.00103401,0.00103401
72,1768.89,0.69589,0.45766,0.57783,0.98592,0,0.86722,0.89846,0.9567,0.7328,0.86722,0.89846,0.9567,0.66505,0.72328,0.65421,0.63014,1.0458,0,0.00103291,0.00103291,0.00103291
73,1793.47,0.63536,0.4871,0.55535,0.95265,0,0.70838,1,0.96792,0.76138,0.70838,1,0.96792,0.6816,0.71323,0.65812,0.6408,1.04444,0,0.00103181,0.00103181,0.00103181
74,1818.16,0.64415,0.45257,0.57091,0.96011,0,0.70864,0.98,0.96109,0.72032,0.70864,0.98,0.96109,0.64873,0.73205,0.70348,0.65914,1.04057,0,0.00103071,0.00103071,0.00103071
75,1842.64,0.65509,0.43655,0.55725,0.96343,0,0.88142,0.91772,0.95818,0.75957,0.88142,0.91772,0.95818,0.69387,0.72921,0.70359,0.56557,1.0586,0,0.00102961,0.00102961,0.00102961
